,mean_accuracy,lr,alpha,tau,feature_maps,hidden_layers,surrogate_grad
0,0.9006410256410258,0.0001,0.85,0.1,"[64, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
1,0.8837072018890201,0.0001,0.99,0.1,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
2,0.8985200845665962,0.0001,0.85,0.1,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
3,0.8967497556207231,0.0001,0.99,0.1,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
4,0.8678977272727273,0.0001,0.85,0.1,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
5,0.8664772727272727,0.0001,0.99,0.1,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
6,0.8383264462809918,0.0001,0.85,0.1,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
7,0.8784722222222222,0.001,0.99,0.1,"[64, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
8,0.8997933884297519,0.001,0.85,0.1,"[64, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
9,0.8644886363636364,0.001,0.99,0.1,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
10,0.8942148760330578,0.001,0.85,0.1,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
11,0.8492647058823529,0.001,0.99,0.1,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
12,0.9014530551415796,0.001,0.85,0.1,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
13,0.8367768595041323,0.001,0.99,0.1,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
14,0.9044526901669758,0.001,0.85,0.1,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
15,0.8192424242424242,0.0001,0.99,0.1,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
16,0.8533775252525252,0.0001,0.85,0.1,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
17,0.8720095693779906,0.0001,0.99,0.1,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
18,0.916866028708134,0.0001,0.85,0.1,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
19,0.8609033371691598,0.0001,0.99,0.1,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
20,0.8450413223140495,0.0001,0.85,0.1,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
21,0.9002525252525252,0.0001,0.99,0.1,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
22,0.8168290043290044,0.0001,0.85,0.1,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
23,0.6363636363636365,0.001,0.99,0.1,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
24,0.7870553359683793,0.001,0.85,0.1,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
25,0.8255681818181818,0.001,0.99,0.1,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
26,0.8149350649350648,0.001,0.85,0.1,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
27,0.7732007575757577,0.001,0.99,0.1,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
28,0.6960227272727273,0.001,0.85,0.1,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
