mean_accuracy,feature_maps,hidden_neurons,threshold,timestep
0.7581417624521074,32,"[128, 64]",1.0,8
0.8017526455026454,64,"[128, 64]",1.0,8
0.8041666666666667,32,"[64, 128]",1.0,8
0.7691727053140098,64,"[64, 128]",1.0,8
0.7754629629629629,32,"[128, 64]",0.8,8
0.7900641025641026,64,"[128, 64]",0.8,8
0.8961805555555558,32,"[64, 128]",0.8,8
0.8522376543209876,64,"[64, 128]",0.8,8
0.8405448717948718,32,"[128, 64]",1.0,29
0.8972630718954248,64,"[128, 64]",1.0,29
0.8223684210526315,32,"[64, 128]",1.0,29
0.8777777777777778,64,"[64, 128]",1.0,29
0.8513454861111112,32,"[128, 64]",0.8,29
0.8871082621082623,64,"[128, 64]",0.8,29
0.8880555555555554,32,"[64, 128]",0.8,29
0.9147222222222223,64,"[64, 128]",0.8,29
0.8166666666666667,32,"[128, 64]",1.0,116
0.8469650205761318,64,"[128, 64]",1.0,116
0.846590909090909,32,"[64, 128]",1.0,116
0.9238683127572016,64,"[64, 128]",1.0,116
0.9047067901234568,32,"[128, 64]",0.8,116
0.8832465277777777,64,"[128, 64]",0.8,116
0.9375,32,"[64, 128]",0.8,116
0.8767361111111113,64,"[64, 128]",0.8,116
