,Lambda,Sparsity,Error
0,0.0,0.045662874525243584,0.05680949158966541
1,0.1,0.6638668233698065,0.08224541372873567
2,0.2,0.5839119824496183,0.11132293611764905
3,0.30000000000000004,0.7310672239823774,0.15297441363334655
4,0.4,0.6765414151278409,0.17749947593970736
5,0.5,0.7584224180741743,0.1935576850717718
6,0.6000000000000001,0.767129204489968,0.22931040563366634
7,0.7000000000000001,0.7648846019398082,0.26430253885009075
8,0.8,0.7566241351040927,0.29908471410924736
9,0.9,0.749736179005016,0.29686724299734285
10,1.0,0.7727602178400214,0.3464042473381216
